product_family_id,season,nivel,color_group,color_intensity,fit,size_lookiero
SWEATER,9,2,yellow,intenso,loose,M
SWEATER,9,2,brown,suave,loose,M
SWEATER,9,2,brown,suave,loose,XS
SWEATER,9,2,blue,oscuro,loose,XS
SWEATER,9,2,blue,oscuro,loose,L
SWEATER,9,2,yellow,intenso,loose,XL
SWEATER,9,2,blue,oscuro,loose,M
SWEATER,9,2,blue,oscuro,loose,S
SWEATER,9,2,blue,oscuro,loose,XL
SWEATER,9,2,yellow,intenso,loose,L
SWEATER,9,2,yellow,intenso,loose,XS
SWEATER,9,2,brown,suave,loose,S
SWEATER,9,2,yellow,intenso,loose,S
SWEATER,9,2,brown,suave,loose,L
SWEATER,9,2,brown,suave,loose,XL
PANT,9,1,black,oscuro,straight,XL
PANT,9,1,black,oscuro,straight,S
PANT,9,1,black,oscuro,straight,M
PANT,9,1,blue,oscuro,straight,L
PANT,9,1,grey,suave,straight,XXL
PANT,9,1,black,oscuro,straight,L
PANT,9,1,green,oscuro,straight,L
PANT,9,1,grey,suave,straight,M
PANT,9,1,grey,suave,straight,L
PANT,9,1,brown,oscuro,straight,S
PANT,9,1,brown,oscuro,straight,M
PANT,9,1,brown,oscuro,straight,L
PANT,9,1,brown,oscuro,straight,XL
PANT,9,1,green,oscuro,straight,M
PANT,9,1,green,oscuro,straight,S
PANT,9,1,brown,oscuro,straight,XXL
PANT,9,1,blue,oscuro,straight,XL
PANT,9,1,blue,oscuro,straight,XXL
PANT,9,1,blue,oscuro,straight,M
PANT,9,1,blue,oscuro,straight,S
PANT,9,1,grey,suave,straight,XL
PANT,9,1,black,oscuro,straight,XXL
PANT,9,1,grey,suave,straight,S
PANT,9,1,green,oscuro,straight,XL
PANT,9,1,green,oscuro,straight,XXL
TSHIRT,9,2,black,oscuro,straight,XXXL
TSHIRT,9,2,black,oscuro,straight,XL
TSHIRT,9,2,black,oscuro,straight,XXL
TSHIRT,9,2,black,oscuro,straight,L
TSHIRT,9,2,black,oscuro,straight,X4XL
TSHIRT,9,2,blue,oscuro,straight,XXL
TSHIRT,9,2,blue,oscuro,straight,L
TSHIRT,9,2,blue,oscuro,straight,X4XL
TSHIRT,9,2,blue,oscuro,straight,XL
TSHIRT,9,2,blue,oscuro,straight,XXXL
TOP,9,2,white,claro,straight,M
TOP,9,2,white,claro,straight,L
TOP,9,2,white,claro,straight,S
TOP,9,2,black,oscuro,straight,L
TOP,9,2,black,oscuro,straight,S
TOP,9,2,green,intenso,straight,S
TOP,9,2,black,oscuro,straight,M
TOP,9,2,green,intenso,straight,L
TOP,9,2,green,intenso,straight,M
JEANS,9,1,white,claro,tight,M
JEANS,9,1,white,claro,tight,L
JEANS,9,1,white,claro,tight,S
JEANS,9,1,white,claro,tight,XS
JEANS,9,1,white,claro,tight,XL
DRESS,9,1,blue,oscuro,tight,XXL
DRESS,9,1,blue,oscuro,tight,XL
DRESS,9,1,blue,oscuro,tight,S
DRESS,9,1,blue,oscuro,tight,L
DRESS,9,1,blue,oscuro,tight,M
DRESS,9,1,black,oscuro,loose,XS
DRESS,9,1,black,oscuro,loose,L
DRESS,9,1,black,oscuro,loose,M
DRESS,9,1,black,oscuro,loose,XL
DRESS,9,1,black,oscuro,loose,S
SHIRT,9,2,yellow,intenso,straight,XL
SHIRT,9,2,yellow,intenso,straight,M
SHIRT,9,2,yellow,intenso,straight,S
SHIRT,9,2,brown,suave,straight,M
SHIRT,9,2,brown,suave,straight,S
SHIRT,9,2,brown,suave,straight,XL
SHIRT,9,2,yellow,intenso,straight,L
SHIRT,9,2,brown,suave,straight,L
DRESS,9,1,green,intenso,straight,S
DRESS,9,1,green,intenso,straight,M
DRESS,9,1,green,intenso,straight,L
DRESS,9,1,black,oscuro,straight,M
DRESS,9,1,blue,oscuro,straight,L
DRESS,9,1,black,oscuro,straight,S
DRESS,9,1,blue,oscuro,straight,M
DRESS,9,1,blue,oscuro,straight,S
DRESS,9,1,black,oscuro,straight,L
