product_family_id,season,nivel,color_group,color_intensity,fit,size_lookiero
SWEATSHIRT,8,2,grey,suave,straight,L
SWEATSHIRT,8,2,pink,intenso,straight,M
SWEATSHIRT,8,2,grey,suave,straight,M
SWEATSHIRT,8,2,grey,suave,straight,S
SWEATSHIRT,8,2,pink,intenso,straight,XS
SWEATSHIRT,8,2,pink,intenso,straight,XXL
SWEATSHIRT,8,2,pink,intenso,straight,XXXL
SWEATSHIRT,8,2,grey,suave,straight,XL
SWEATSHIRT,8,2,grey,suave,straight,XS
SWEATSHIRT,8,2,grey,suave,straight,XXL
SWEATSHIRT,8,2,grey,suave,straight,XXXL
SWEATSHIRT,8,2,pink,intenso,straight,L
SWEATSHIRT,8,2,pink,intenso,straight,XL
SWEATSHIRT,8,2,pink,intenso,straight,S
SHIRT,8,2,black,oscuro,straight,S
SHIRT,8,2,black,oscuro,straight,XL
SHIRT,8,2,black,oscuro,straight,L
SHIRT,8,2,black,oscuro,straight,M
SHIRT,8,2,black,oscuro,straight,XS
DRESS,8,1,black,oscuro,straight,XXL
DRESS,8,1,black,oscuro,straight,XXXL
DRESS,8,1,black,oscuro,straight,XS
DRESS,8,1,black,oscuro,straight,L
DRESS,8,1,black,oscuro,straight,S
DRESS,8,1,black,oscuro,straight,M
DRESS,8,1,black,oscuro,straight,XL
SHIRT,8,2,white,claro,straight,M
SHIRT,8,2,white,claro,straight,X4XL
SHIRT,8,2,white,claro,straight,XL
SHIRT,8,2,white,claro,straight,XXL
SHIRT,8,2,white,claro,straight,XXXL
SHIRT,8,2,white,claro,straight,L
DRESS,8,1,blue,oscuro,straight,L
DRESS,8,1,blue,oscuro,straight,XL
DRESS,8,1,blue,oscuro,straight,M
DRESS,8,1,blue,oscuro,straight,XXL
DRESS,8,1,blue,oscuro,straight,XXXL
DRESS,8,1,blue,oscuro,straight,X4XL
SWEATER,8,2,brown,claro,loose,M
SWEATER,8,2,brown,claro,loose,S
SWEATER,8,2,brown,claro,loose,XL
SWEATER,8,2,brown,claro,loose,XXL
SWEATER,8,2,brown,claro,loose,XXXL
SWEATER,8,2,brown,claro,loose,L
CARDIGAN,8,2,brown,oscuro,straight,M
CARDIGAN,8,2,brown,oscuro,straight,L
CARDIGAN,8,2,black,oscuro,straight,XL
CARDIGAN,8,2,grey,suave,straight,XL
CARDIGAN,8,2,grey,suave,straight,M
CARDIGAN,8,2,black,oscuro,straight,L
CARDIGAN,8,2,black,oscuro,straight,S
CARDIGAN,8,2,black,oscuro,straight,M
CARDIGAN,8,2,grey,suave,straight,S
CARDIGAN,8,2,brown,oscuro,straight,S
CARDIGAN,8,2,brown,oscuro,straight,XL
CARDIGAN,8,2,grey,suave,straight,L
SWEATER,8,2,brown,claro,loose,L
SWEATER,8,2,yellow,intenso,loose,M
SWEATER,8,2,yellow,intenso,loose,S
SWEATER,8,2,yellow,intenso,loose,XL
SWEATER,8,2,yellow,intenso,loose,XS
SWEATER,8,2,yellow,intenso,loose,L
SWEATER,8,2,brown,claro,loose,M
SWEATER,8,2,brown,claro,loose,S
SWEATER,8,2,brown,claro,loose,XL
SWEATER,8,2,brown,claro,loose,XS
SWEATER,8,2,grey,oscuro,loose,L
SWEATER,8,2,grey,oscuro,loose,M
SWEATER,8,2,grey,oscuro,loose,S
SWEATER,8,2,grey,oscuro,loose,XL
SWEATER,8,2,grey,oscuro,loose,XS
TOP,7,2,yellow,intenso,straight,M
TOP,7,2,yellow,intenso,straight,L
TOP,7,2,yellow,intenso,straight,S
JUMPSUIT,7,1,blue,oscuro,straight,S
JUMPSUIT,7,1,blue,oscuro,straight,M
JUMPSUIT,7,1,brown,suave,straight,M
JUMPSUIT,7,1,brown,suave,straight,S
JACKET,9,3,blue,oscuro,tight,M
JACKET,9,3,blue,oscuro,tight,L
JACKET,9,3,blue,oscuro,tight,S
JACKET,9,3,blue,oscuro,tight,XL
JACKET,9,3,blue,oscuro,tight,XXL
JACKET,8,3,brown,claro,tight,XXL
JACKET,9,3,brown,oscuro,tight,M
JACKET,8,3,grey,oscuro,tight,S
JACKET,8,3,grey,oscuro,tight,XXL
JACKET,8,3,green,oscuro,tight,L
JACKET,8,3,brown,claro,tight,XL
JACKET,8,3,green,oscuro,tight,M
JACKET,8,3,brown,oscuro,tight,XXL
JACKET,8,3,red,oscuro,tight,XXL
JACKET,9,3,brown,oscuro,tight,S
JACKET,9,3,brown,oscuro,tight,XL
JACKET,9,3,brown,oscuro,tight,XXL
JACKET,8,3,black,oscuro,tight,L
JACKET,8,3,brown,oscuro,tight,XL
JACKET,8,3,red,oscuro,tight,XL
JACKET,9,3,brown,oscuro,tight,L
JACKET,8,3,green,oscuro,tight,S
JACKET,8,3,green,oscuro,tight,XL
JACKET,8,3,green,oscuro,tight,XXL
JACKET,8,3,brown,claro,tight,L
JACKET,8,3,brown,claro,tight,M
JACKET,8,3,green,oscuro,tight,M
JACKET,8,3,green,oscuro,tight,XL
JACKET,8,3,green,oscuro,tight,L
JACKET,8,3,green,oscuro,tight,S
JACKET,8,3,red,oscuro,tight,S
JACKET,8,3,brown,claro,tight,S
JACKET,8,3,black,oscuro,tight,S
JACKET,8,3,black,oscuro,tight,XXL
JACKET,8,3,green,oscuro,tight,XXL
JACKET,8,3,grey,oscuro,tight,L
JACKET,8,3,grey,oscuro,tight,M
JACKET,8,3,grey,oscuro,tight,XL
JACKET,8,3,red,oscuro,tight,L
JACKET,8,3,red,oscuro,tight,M
JACKET,8,3,brown,oscuro,tight,M
JACKET,8,3,brown,oscuro,tight,S
JACKET,8,3,brown,oscuro,tight,L
JACKET,8,3,black,oscuro,tight,XL
JACKET,8,3,black,oscuro,tight,M
TSHIRT,7,2,green,oscuro,straight,M
TSHIRT,7,2,pink,intenso,straight,L
TSHIRT,7,2,green,oscuro,straight,L
TSHIRT,7,2,green,oscuro,straight,S
TSHIRT,7,2,pink,intenso,straight,M
TSHIRT,7,2,pink,intenso,straight,S
TSHIRT,7,2,brown,suave,straight,L
TSHIRT,7,2,brown,suave,straight,M
TSHIRT,7,2,brown,suave,straight,S
SWEATER,8,2,orange,intenso,oversize,XS
SWEATER,8,2,orange,intenso,oversize,S
SWEATER,8,2,orange,intenso,oversize,XL
SWEATER,8,2,orange,intenso,oversize,L
SWEATER,8,2,orange,intenso,oversize,M
SWEATER,8,2,orange,intenso,straight,L
SWEATER,8,2,orange,intenso,straight,M
SWEATER,8,2,orange,intenso,straight,S
SWEATER,8,2,orange,intenso,straight,XL
SWEATER,8,2,orange,intenso,straight,XS
SCARF,8,3,brown,oscuro,,UNQ
SCARF,8,3,brown,oscuro,,UNQ
SCARF,8,3,brown,oscuro,,UNQ
SCARF,8,3,black,oscuro,,UNQ
SCARF,8,3,grey,suave,,UNQ
SCARF,8,3,yellow,intenso,,UNQ
SCARF,8,3,pink,intenso,,UNQ
CARDIGAN,8,2,grey,oscuro,straight,S
CARDIGAN,8,2,grey,oscuro,straight,XL
CARDIGAN,8,2,brown,suave,straight,M
CARDIGAN,8,2,brown,suave,straight,XS
CARDIGAN,8,2,grey,oscuro,straight,L
CARDIGAN,8,2,grey,oscuro,straight,M
CARDIGAN,8,2,grey,oscuro,straight,XS
CARDIGAN,8,2,brown,suave,straight,L
CARDIGAN,8,2,brown,suave,straight,S
CARDIGAN,8,2,brown,suave,straight,XL
PANT,8,1,black,oscuro,loose,S
PANT,8,1,black,oscuro,loose,XL
PANT,8,1,black,oscuro,loose,M
PANT,9,1,green,oscuro,loose,M
PANT,9,1,green,oscuro,loose,XL
PANT,9,1,green,oscuro,loose,L
PANT,9,1,green,oscuro,loose,S
PANT,8,1,black,oscuro,loose,L
SWEATER,8,2,blue,intenso,loose,UNQ
SWEATER,8,2,orange,intenso,loose,UNQ
SWEATER,8,2,orange,claro,loose,UNQ
PARKA,8,3,black,oscuro,tight,S
PARKA,8,3,black,oscuro,tight,L
PARKA,8,3,black,oscuro,tight,M
PARKA,8,3,black,oscuro,tight,XS
PARKA,8,3,black,oscuro,tight,XL
PANT,8,1,black,oscuro,tight,L
PANT,8,1,black,oscuro,tight,M
PANT,8,1,black,oscuro,tight,XL
PANT,8,1,black,oscuro,tight,XS
PANT,8,1,black,oscuro,tight,S
JUMPSUIT,8,1,black,oscuro,straight,L
JUMPSUIT,8,1,black,oscuro,straight,S
JUMPSUIT,8,1,black,oscuro,straight,M
JUMPSUIT,8,1,black,oscuro,straight,XS
SWEATER,8,2,green,oscuro,loose,M
SWEATER,8,2,red,oscuro,loose,S
SWEATER,8,2,green,oscuro,loose,L
SWEATER,8,2,yellow,intenso,loose,S
SWEATER,8,2,yellow,intenso,loose,L
SWEATER,8,2,yellow,intenso,loose,XS
SWEATER,8,2,red,oscuro,loose,M
SWEATER,8,2,yellow,intenso,loose,M
SWEATER,8,2,green,oscuro,loose,XS
SWEATER,8,2,green,oscuro,loose,S
SWEATER,8,2,red,oscuro,loose,XS
SWEATER,8,2,red,oscuro,loose,L
SWEATER,8,2,red,oscuro,loose,L
SWEATER,8,2,red,oscuro,loose,XS
SWEATER,8,2,red,oscuro,loose,M
SWEATER,8,2,red,oscuro,loose,XL
SWEATER,8,2,red,oscuro,loose,S
SKIRT,8,1,blue,oscuro,straight,L
SKIRT,8,1,black,oscuro,straight,XXL
SKIRT,8,1,black,oscuro,straight,XL
SKIRT,8,1,blue,oscuro,straight,X4XL
SKIRT,8,1,blue,oscuro,straight,XL
SKIRT,8,1,blue,oscuro,straight,XXL
SKIRT,8,1,blue,oscuro,straight,XXXL
SKIRT,8,1,black,oscuro,straight,L
SKIRT,8,1,black,oscuro,straight,X4XL
SKIRT,8,1,black,oscuro,straight,XXXL
SKIRT,8,1,blue,oscuro,straight,X4XL
SKIRT,8,1,blue,oscuro,straight,XL
SKIRT,8,1,blue,oscuro,straight,XXL
SKIRT,8,1,blue,oscuro,straight,L
SKIRT,8,1,blue,oscuro,straight,XXXL
SKIRT,8,1,green,oscuro,straight,M
SKIRT,8,1,brown,oscuro,straight,XL
SKIRT,8,1,brown,oscuro,straight,XS
SKIRT,8,1,green,oscuro,straight,XS
SKIRT,8,1,brown,oscuro,straight,L
SKIRT,8,1,brown,oscuro,straight,M
SKIRT,8,1,brown,oscuro,straight,S
SKIRT,8,1,green,oscuro,straight,L
SKIRT,8,1,green,oscuro,straight,S
SKIRT,8,1,green,oscuro,straight,XL
BAG,9,3,blue,oscuro,,UNQ
BAG,9,3,red,oscuro,,UNQ
COAT,8,3,green,oscuro,straight,L
COAT,8,3,brown,oscuro,straight,M
COAT,8,3,brown,oscuro,straight,S
COAT,8,3,green,oscuro,straight,S
COAT,8,3,green,oscuro,straight,XS
COAT,8,3,green,oscuro,straight,M
COAT,8,3,brown,oscuro,straight,XL
COAT,8,3,brown,oscuro,straight,XS
COAT,8,3,brown,oscuro,straight,XXL
COAT,8,3,brown,oscuro,straight,XXXL
COAT,8,3,green,oscuro,straight,XXL
COAT,8,3,green,oscuro,straight,XXXL
COAT,8,3,green,oscuro,straight,XL
COAT,8,3,brown,oscuro,straight,L
SWEATER,8,2,brown,oscuro,loose,XL
SWEATER,8,2,brown,oscuro,loose,XS
SWEATER,8,2,brown,oscuro,loose,L
SWEATER,8,2,brown,oscuro,loose,M
SWEATER,8,2,brown,oscuro,loose,S
SWEATER,8,2,blue,oscuro,oversize,L
SWEATER,8,2,blue,oscuro,oversize,M
SWEATER,8,2,blue,oscuro,oversize,S
SWEATER,8,2,blue,oscuro,oversize,XL
SWEATER,8,2,blue,oscuro,oversize,XXL
JUMPSUIT,8,1,black,oscuro,straight,XS
JUMPSUIT,8,1,black,oscuro,straight,XL
JUMPSUIT,8,1,black,oscuro,straight,L
JUMPSUIT,8,1,black,oscuro,straight,M
JUMPSUIT,8,1,black,oscuro,straight,S
SWEATER,8,2,black,oscuro,straight,XS
SWEATER,8,2,black,oscuro,straight,S
SWEATER,8,2,black,oscuro,straight,M
SWEATER,8,2,black,oscuro,straight,L
SWEATER,8,2,black,oscuro,straight,XL
SHIRT,8,2,white,claro,loose,M
SHIRT,8,2,white,claro,loose,S
SHIRT,8,2,black,oscuro,loose,XXL
SHIRT,8,2,pink,suave,loose,S
SHIRT,8,2,white,claro,loose,XXL
SHIRT,8,2,pink,suave,loose,L
SHIRT,8,2,pink,suave,loose,M
SHIRT,8,2,white,claro,loose,XL
SHIRT,8,2,white,claro,loose,XS
SHIRT,8,2,blue,claro,loose,L
SHIRT,8,2,black,oscuro,loose,XS
SHIRT,9,2,blue,claro,loose,XL
SHIRT,8,2,black,oscuro,loose,XL
SHIRT,8,2,pink,suave,loose,XL
SHIRT,8,2,pink,suave,loose,XXL
SHIRT,8,2,black,oscuro,loose,L
SHIRT,8,2,blue,claro,loose,XXL
SHIRT,8,2,white,claro,loose,L
SHIRT,8,2,pink,suave,loose,XS
SHIRT,8,2,black,oscuro,loose,S
SHIRT,8,2,blue,claro,loose,M
SHIRT,8,2,black,oscuro,loose,M
SHIRT,9,2,blue,claro,loose,XS
SHIRT,8,2,blue,claro,loose,S
SHIRT,8,2,brown,oscuro,straight,XXL
SHIRT,8,2,brown,oscuro,straight,XXXL
SHIRT,8,2,blue,claro,straight,X4XL
SHIRT,8,2,blue,claro,straight,XXL
SHIRT,8,2,brown,oscuro,straight,X4XL
SHIRT,8,2,blue,claro,straight,XXXL
SHORT,8,1,black,oscuro,straight,M
SHORT,8,1,black,oscuro,straight,S
SHORT,8,1,black,oscuro,straight,L
TOP,8,2,black,oscuro,straight,S
TOP,8,2,black,oscuro,straight,L
TOP,8,2,black,oscuro,straight,M
SHIRT,8,2,black,oscuro,loose,L
SHIRT,8,2,black,oscuro,loose,M
SHIRT,8,2,black,oscuro,loose,S
SHIRT,9,2,blue,claro,straight,S
SHIRT,9,2,blue,claro,straight,XL
SHIRT,9,2,blue,claro,straight,L
SHIRT,9,2,blue,claro,straight,XS
SHIRT,9,2,blue,claro,straight,M
CARDIGAN,9,2,blue,claro,straight,XL
CARDIGAN,9,2,green,claro,straight,L
CARDIGAN,9,2,orange,claro,straight,S
CARDIGAN,9,2,orange,claro,straight,L
CARDIGAN,9,2,green,claro,straight,M
CARDIGAN,9,2,blue,claro,straight,XS
CARDIGAN,9,2,green,claro,straight,S
CARDIGAN,9,2,orange,claro,straight,XL
CARDIGAN,9,2,orange,claro,straight,XS
CARDIGAN,9,2,blue,claro,straight,M
CARDIGAN,9,2,blue,claro,straight,L
CARDIGAN,9,2,blue,claro,straight,S
CARDIGAN,9,2,orange,claro,straight,M
CARDIGAN,9,2,green,claro,straight,XS
CARDIGAN,9,2,green,claro,straight,XL
DRESS,9,1,black,oscuro,straight,XS
DRESS,9,1,black,oscuro,straight,L
DRESS,9,1,black,oscuro,straight,XL
DRESS,9,1,black,oscuro,straight,S
DRESS,9,1,black,oscuro,straight,M
SWEATER,9,2,blue,oscuro,loose,L
SWEATER,9,2,yellow,intenso,loose,S
SWEATER,9,2,yellow,intenso,loose,XS
SWEATER,9,2,yellow,intenso,loose,L
SWEATER,9,2,yellow,intenso,loose,XL
SWEATER,9,2,blue,oscuro,loose,S
SWEATER,9,2,blue,oscuro,loose,XS
SWEATER,9,2,yellow,intenso,loose,M
SWEATER,9,2,blue,oscuro,loose,XL
SWEATER,9,2,blue,oscuro,loose,M
DRESS,9,1,black,oscuro,tight,L
DRESS,9,1,blue,oscuro,tight,XXL
DRESS,9,1,black,oscuro,tight,M
DRESS,9,1,black,oscuro,tight,XL
DRESS,9,1,blue,oscuro,tight,M
DRESS,9,1,blue,oscuro,tight,L
DRESS,9,1,blue,oscuro,tight,S
DRESS,9,1,blue,oscuro,tight,XL
TSHIRT,8,2,grey,claro,loose,X4XL
TSHIRT,8,2,grey,claro,loose,XL
TSHIRT,8,2,grey,claro,loose,XXXL
TSHIRT,8,2,grey,claro,loose,L
TSHIRT,8,2,grey,claro,loose,XXL
PARKA,9,3,blue,oscuro,tight,L
PARKA,8,3,red,intenso,tight,XS
PARKA,8,3,blue,oscuro,tight,S
PARKA,8,3,red,intenso,tight,XL
PARKA,8,3,blue,oscuro,tight,L
PARKA,8,3,blue,oscuro,tight,M
PARKA,8,3,blue,oscuro,tight,X4XL
PARKA,8,3,blue,oscuro,tight,XL
PARKA,8,3,brown,suave,tight,L
PARKA,9,3,blue,oscuro,tight,S
PARKA,8,3,blue,oscuro,tight,XS
PARKA,8,3,blue,oscuro,tight,XXXL
PARKA,9,3,blue,oscuro,tight,M
PARKA,8,3,brown,suave,tight,XXXL
PARKA,8,3,red,intenso,tight,S
PARKA,8,3,red,intenso,tight,XXL
PARKA,8,3,red,intenso,tight,XXXL
PARKA,8,3,blue,oscuro,tight,XXL
PARKA,8,3,red,intenso,tight,M
PARKA,8,3,red,intenso,tight,L
PARKA,9,3,blue,oscuro,tight,XS
PARKA,9,3,blue,oscuro,tight,XL
PARKA,9,3,blue,oscuro,tight,XXL
PARKA,8,3,brown,suave,tight,XXL
PARKA,8,3,brown,suave,tight,XL
PARKA,8,3,brown,suave,tight,XS
PARKA,8,3,brown,suave,tight,S
PARKA,8,3,brown,suave,tight,M
JEANS,8,1,black,oscuro,tight,L
JEANS,8,1,black,oscuro,tight,M
JEANS,8,1,black,oscuro,tight,S
JEANS,8,1,black,oscuro,tight,XS
DRESS,8,1,blue,oscuro,loose,L
DRESS,8,1,black,oscuro,loose,S
DRESS,8,1,blue,oscuro,loose,M
DRESS,8,1,blue,oscuro,loose,S
DRESS,8,1,black,oscuro,loose,L
DRESS,8,1,black,oscuro,loose,M
PARKA,8,3,green,oscuro,straight,XXXL
PARKA,8,3,black,oscuro,straight,S
PARKA,8,3,black,oscuro,straight,XL
PARKA,8,3,black,oscuro,straight,XXXL
PARKA,8,3,green,oscuro,straight,M
PARKA,8,3,brown,suave,straight,XL
PARKA,8,3,brown,suave,straight,XS
PARKA,8,3,brown,suave,straight,XXL
PARKA,8,3,brown,suave,straight,XXXL
PARKA,8,3,green,oscuro,straight,XS
PARKA,8,3,brown,suave,straight,L
PARKA,8,3,brown,oscuro,straight,XL
PARKA,8,3,brown,oscuro,straight,L
PARKA,8,3,brown,oscuro,straight,M
PARKA,8,3,brown,oscuro,straight,S
PARKA,8,3,brown,oscuro,straight,XXXL
PARKA,8,3,black,oscuro,straight,L
PARKA,8,3,green,oscuro,straight,S
PARKA,8,3,brown,suave,straight,M
PARKA,8,3,brown,oscuro,straight,XXL
PARKA,8,3,black,oscuro,straight,M
PARKA,8,3,black,oscuro,straight,XS
PARKA,8,3,black,oscuro,straight,XXL
PARKA,8,3,green,oscuro,straight,XXL
PARKA,8,3,brown,suave,straight,S
PARKA,8,3,green,oscuro,straight,XL
PARKA,8,3,brown,oscuro,straight,XS
PARKA,8,3,green,oscuro,straight,L
DRESS,8,1,purple,oscuro,straight,XS
DRESS,8,1,purple,oscuro,straight,M
DRESS,8,1,purple,oscuro,straight,S
DRESS,8,1,purple,oscuro,straight,XL
DRESS,8,1,purple,oscuro,straight,XXL
DRESS,8,1,purple,oscuro,straight,XXXL
DRESS,8,1,purple,oscuro,straight,L
SHIRT,9,2,blue,oscuro,loose,L
SHIRT,9,2,blue,oscuro,loose,XL
SHIRT,9,2,blue,oscuro,loose,XS
SHIRT,9,2,blue,oscuro,loose,S
SHIRT,9,2,blue,oscuro,loose,M
SHIRT,9,2,blue,oscuro,loose,XXL
SWEATER,9,2,red,oscuro,straight,XS
SWEATER,9,2,grey,suave,straight,L
SWEATER,9,2,grey,suave,straight,M
SWEATER,9,2,grey,suave,straight,S
SWEATER,9,2,grey,suave,straight,XL
SWEATER,9,2,grey,suave,straight,XS
SWEATER,9,2,black,oscuro,straight,L
SWEATER,9,2,black,oscuro,straight,M
SWEATER,9,2,black,oscuro,straight,S
SWEATER,9,2,black,oscuro,straight,XL
SWEATER,9,2,red,oscuro,straight,L
SWEATER,9,2,black,oscuro,straight,XS
SWEATER,9,2,red,oscuro,straight,XL
SWEATER,9,2,red,oscuro,straight,M
SWEATER,9,2,red,oscuro,straight,S
PANT,9,1,black,oscuro,straight,L
PANT,9,1,black,oscuro,straight,S
PANT,9,1,brown,claro,straight,XS
PANT,9,1,brown,claro,straight,M
PANT,9,1,black,oscuro,straight,M
PANT,9,1,black,oscuro,straight,XS
PANT,9,1,green,claro,straight,S
PANT,9,1,brown,claro,straight,S
PANT,9,1,green,claro,straight,XS
PANT,9,1,brown,claro,straight,XXL
PANT,9,1,green,claro,straight,XXL
PANT,9,1,black,oscuro,straight,XL
PANT,9,1,black,oscuro,straight,XXL
PANT,9,1,brown,claro,straight,L
PANT,9,1,green,claro,straight,XL
PANT,9,1,green,claro,straight,M
PANT,9,1,green,claro,straight,L
PANT,9,1,brown,claro,straight,XL
DRESS,9,1,blue,intenso,straight,S
DRESS,9,1,blue,intenso,straight,XL
DRESS,9,1,blue,intenso,straight,XS
DRESS,9,1,blue,intenso,straight,L
DRESS,9,1,blue,intenso,straight,M
DRESS,9,1,blue,intenso,straight,XXL
SHIRT,9,2,blue,intenso,straight,S
SHIRT,9,2,blue,intenso,straight,M
SHIRT,9,2,blue,intenso,straight,XS
SHIRT,9,2,blue,intenso,straight,XL
SHIRT,9,2,blue,intenso,straight,L
SWEATER,9,2,yellow,intenso,straight,S
SWEATER,9,2,blue,oscuro,straight,XL
SWEATER,9,2,blue,oscuro,straight,L
SWEATER,9,2,yellow,intenso,straight,M
SWEATER,9,2,yellow,intenso,straight,XL
SWEATER,9,2,yellow,intenso,straight,XS
